gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,Cluster,PCA1,PCA2
Female,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,0-12,1,-1.9516568919843804,-0.0827525769165133
Male,0,0,0,34,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,25-48,2,-0.2057925462347084,-0.23514164516324987
Male,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,0-12,1,-1.5180826404635284,0.5225421891074254
Male,0,0,0,45,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,25-48,2,-0.20241179592715347,-0.891730253248382
Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,0-12,3,-1.233269419918207,0.9651813505910561
Female,0,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,0-12,3,-0.4309371162861014,1.5613024493389043
Male,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,13-24,3,0.053531423746404544,0.9068078746682651
Female,0,0,0,10,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,0-12,1,-1.66544926523149,-0.315285540559394
Female,0,1,0,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,25-48,3,0.7674683868814943,1.1424218717427512
Male,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,49-72,2,0.8974202312986507,-0.9917009573983031
Male,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,13-24,1,-1.1861925708229615,0.13488090212953213
Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,13-24,1,-1.6938498375713305,-0.7487993004622558
Male,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,49-72,0,2.1621435335164993,0.21235802714073732
Male,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,49-72,0,1.8190313377242844,0.5405272230661408
Male,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,25-48,3,0.6038031775693616,1.244742426921417
Female,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,49-72,0,3.27430703174239,0.220488590556924
Female,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,49-72,2,-0.6301542805961344,-1.6130650638924953
Male,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,49-72,0,3.0642744880552204,0.012315584631702466
Female,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,0-12,1,-1.1881027045489059,0.3489428200369204
